,monocyte,plasma cell,fibroblast,macrophage
GOBP_BLASTOCYST_FORMATION,0.8222222222222222,0.5777777777777777,0.7777777777777778,0.4666666666666667
GOBP_INNER_CELL_MASS_CELL_DIFFERENTIATION,0.75,0.5,0.75,0.5
GOBP_TROPHECTODERMAL_CELL_DIFFERENTIATION,0.7894736842105263,0.5789473684210527,0.6842105263157895,0.3684210526315789
GOBP_BLASTOCYST_GROWTH,0.8636363636363636,0.8636363636363636,0.8181818181818182,0.6363636363636364
GOBP_INNER_CELL_MASS_CELL_PROLIFERATION,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.6428571428571429
GOBP_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA,0.8214285714285714,0.625,0.7321428571428571,0.5535714285714286
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,0.6145833333333334,0.4635416666666667,0.6510416666666666,0.4427083333333333
GOBP_NEURAL_PLATE_MORPHOGENESIS,0.6,0.4,0.6,0.4
GOBP_NEURAL_PLATE_DEVELOPMENT,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.4444444444444444
GOBP_NEURAL_TUBE_FORMATION,0.8137254901960784,0.6666666666666666,0.7745098039215687,0.46078431372549017
GOBP_NEURAL_FOLD_FORMATION,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
GOBP_PHAGOLYSOSOME_ASSEMBLY,1.0,0.6842105263157895,0.8421052631578947,0.631578947368421
GOBP_NK_T_CELL_DIFFERENTIATION,0.9090909090909091,0.7272727272727273,0.9090909090909091,0.7272727272727273
GOBP_NK_T_CELL_PROLIFERATION,0.8888888888888888,0.7777777777777778,0.6666666666666666,0.5555555555555556
GOBP_COMPLEMENT_ACTIVATION_LECTIN_PATHWAY,0.7272727272727273,0.5454545454545454,0.8181818181818182,0.5454545454545454
GOBP_RESPONSE_TO_YEAST,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.42857142857142855
GOBP_RECEPTOR_RECYCLING,0.851063829787234,0.6595744680851063,0.7659574468085106,0.5319148936170213
GOBP_ENDOTHELIAL_CELL_DEVELOPMENT,0.855072463768116,0.6666666666666666,0.8115942028985508,0.5362318840579711
GOBP_ENDOTHELIAL_CELL_MORPHOGENESIS,0.7,0.6,0.7,0.6
GOBP_PLACENTA_DEVELOPMENT,0.7152317880794702,0.5827814569536424,0.7152317880794702,0.5165562913907285
GOBP_EMBRYONIC_PLACENTA_DEVELOPMENT,0.7159090909090909,0.5909090909090909,0.6931818181818182,0.5568181818181818
GOBP_MATERNAL_PLACENTA_DEVELOPMENT,0.6857142857142857,0.6285714285714286,0.7714285714285715,0.45714285714285713
GOBP_TISSUE_HOMEOSTASIS,0.7251908396946565,0.5725190839694656,0.683206106870229,0.46564885496183206
GOBP_RETINA_HOMEOSTASIS,0.5818181818181818,0.4,0.5272727272727272,0.43636363636363634
GOBP_CELL_KILLING,0.5965665236051502,0.45064377682403434,0.48497854077253216,0.4034334763948498
