,Macrophage,Monocyte,Stromal cell,Smooth muscle cell,Dendritic cell,B cell (Plasmocyte),Erythroid cell,T cell,Endothelial cell (APC),Fibroblast,Epithelial cell,Endothelial cell (endothelial to mesenchymal transition),Mast cell,Neutrophil,Fasciculata cell,Myeloid cell,Sinusoidal endothelial cell,B cell,M2 Macrophage,Endothelial cell,Mesothelial cell,Basal cell,Enterocyte progenitor,Antigen presenting cell (RPS high),Epithelial cell (intermediated),Gastric endocrine cell,Erythroid progenitor cell (RP high),Neutrophil (RPS high),CB CD34+,Primordial germ cell,Oligodendrocyte,Astrocyte,Goblet cell,Stratified epithelial cell,Loop of Henle,Enterocyte,Hepatocyte/Endodermal cell,Ventricle cardiomyocyte,Proliferating T cell,Intercalated cell,Ureteric bud cell,hESC,Proximal tubule progenitor,Pancreas exocrine cell,AT2 cell,Gastric chief cell,Thyroid follicular cell,Immature sertoli cell (Pre-Sertoli cell)
SERBP1P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHORDC1P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCEMP1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC34A1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ZFAND1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0
LRRC8E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDC25A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHBB,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DTX2P1-UPK3BP1-PMS2P11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
